,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
3955,To restore,3,300  m² square meters,Not installed,6,4,,456  m²  square meters,283  m²  square meters,"€ 209,000  209000 €",,,Yes
3956,Just renovated,4,130  m² square meters,Installed,3,1,No,175  m²  square meters,,"Make an offer starting from  € 275,000  Make an offer starting from  275000 €",No,,
3957,Good,4,165  m² square meters,,5,2,,400  m²  square meters,195  m²  square meters,"€ 525,000  525000 €",,Lede,Yes
3958,Good,3,140  m² square meters,,4,1,,150  m²  square meters,,"€ 275,000  275000 €",,,
3959,As new,4,222  m² square meters,Installed,4,1,,953  m²  square meters,630  m²  square meters,"€ 649,000  649000 €",,,
3961,As new,4,258  m² square meters,USA hyper equipped,4,2,No,1251  m²  square meters,,"€ 729,000  729000 €",,,
3962,,3,900  m² square meters,Semi equipped,10,2,,1884  m²  square meters,,"€ 850,000  850000 €",,,
3963,To be done up,2,100  m² square meters,,4,3,No,100  m²  square meters,,"€ 375,000  375000 €",No,,
3964,Good,4,150  m² square meters,Semi equipped,3,1,No,498  m²  square meters,385  m²  square meters,"€ 220,000  220000 €",,,Yes
3965,To be done up,2,140  m² square meters,,3,1,No,470  m²  square meters,200  m²  square meters,"Make an offer starting from  € 199,000  Make an offer starting from  199000 €",No,,
3966,As new,4,970  m² square meters,Hyper equipped,5,5,No,10000  m²  square meters,,"€ 3,350,000  3350000 €",Yes,,Yes
3967,Just renovated,4,156  m² square meters,USA hyper equipped,3,1,,637  m²  square meters,,"€ 499,000  499000 €",,,
3968,As new,,220  m² square meters,Hyper equipped,4,2,,170  m²  square meters,100  m²  square meters,"€ 698,000  698000 €",,,
3969,,2,170  m² square meters,Installed,3,1,,110  m²  square meters,,"€ 525,000  525000 €",,,Yes
3970,Good,4,240  m² square meters,Hyper equipped,3,2,,3780  m²  square meters,,"Make an offer starting from  € 795,000  Make an offer starting from  795000 €",,,
3971,As new,2,700  m² square meters,Installed,5,5,No,300  m²  square meters,,"€ 3,000,000  3000000 €",No,,
3972,To renovate,3,201  m² square meters,Semi equipped,3,1,No,609  m²  square meters,,"Make an offer starting from  € 299,000  Make an offer starting from  299000 €",,,Yes
3973,As new,2,225  m² square meters,USA hyper equipped,5,3,No,268  m²  square meters,180  m²  square meters,"€ 1,100,000  1100000 €",,,
3974,Good,1,150  m² square meters,,3,1,No,500  m²  square meters,,"€ 275,000  275000 €",,,
3975,As new,4,400  m² square meters,,4,4,No,2300  m²  square meters,,"€ 2,095,000  2095000 €",No,,
3976,Just renovated,2,180  m² square meters,,6,,Yes,80  m²  square meters,,"€ 499,000  499000 €",,,
3977,As new,3,140  m² square meters,Installed,3,1,No,1350  m²  square meters,807  m²  square meters,"€ 269,000  269000 €",,,Yes
3978,Just renovated,4,157  m² square meters,Installed,3,1,,1105  m²  square meters,,"€ 545,000  545000 €",,,Yes
3980,To renovate,3,182  m² square meters,Installed,3,2,No,660  m²  square meters,450  m²  square meters,"Make an offer starting from  € 430,000  Make an offer starting from  430000 €",,,
3981,Good,,250  m² square meters,Hyper equipped,4,,No,1560  m²  square meters,,"€ 569,000  569000 €",,,
3982,As new,3,199  m² square meters,,4,1,No,298  m²  square meters,,"Make an offer starting from  € 349,000  Make an offer starting from  349000 €",No,,
3983,Good,2,270  m² square meters,Installed,5,3,,490  m²  square meters,,"€ 699,000  699000 €",,,Yes
3984,To renovate,,144  m² square meters,Installed,3,1,No,703  m²  square meters,,"€ 159,000  159000 €",No,,
3985,To be done up,3,280  m² square meters,,6,1,,621  m²  square meters,400  m²  square meters,"Make an offer starting from  € 400,000  Make an offer starting from  400000 €",,,
3986,,3,180  m² square meters,,4,2,,303  m²  square meters,,"€ 565,000  565000 €",,,
3987,As new,,551  m² square meters,Hyper equipped,4,2,,645  m²  square meters,,"€ 495,000  495000 €",Yes,,Yes
3988,Good,4,246  m² square meters,,5,1,No,1067  m²  square meters,,"€ 599,000  599000 €",,,Yes
3989,Good,4,200  m² square meters,Semi equipped,4,1,,2710  m²  square meters,,"€ 595,000  595000 €",,,
3990,To renovate,4,429  m² square meters,,5,1,No,5760  m²  square meters,,"€ 849,000  849000 €",,,
3991,As new,,150  m² square meters,Hyper equipped,3,,No,253  m²  square meters,100  m²  square meters,"€ 445,000  445000 €",,,
3992,As new,4,423  m² square meters,Installed,3,2,No,2457  m²  square meters,,"€ 870,000  870000 €",Yes,,
3993,Good,4,550  m² square meters,Installed,8,7,,5432  m²  square meters,,"€ 1,995,000  1995000 €",,,Yes
3994,Good,3,,,3,1,No,524  m²  square meters,,"€ 263,000  263000 €",,,
3995,To be done up,3,136  m² square meters,,3,1,,500  m²  square meters,,"€ 288,000  288000 €",,,
3996,As new,2,138  m² square meters,Hyper equipped,5,,No,77  m²  square meters,,"€ 375,000  375000 €",,,Yes
3997,Good,3,157  m² square meters,Hyper equipped,5,1,No,300  m²  square meters,70  m²  square meters,"€ 440,000  440000 €",,,
3998,As new,4,156  m² square meters,Installed,3,1,No,584  m²  square meters,500  m²  square meters,"€ 343,000  343000 €",,,
3999,As new,4,350  m² square meters,Hyper equipped,3,1,No,516  m²  square meters,125  m²  square meters,"Make an offer starting from  € 1,400,000  Make an offer starting from  1400000 €",No,,
4000,Good,,200  m² square meters,Semi equipped,4,1,,980  m²  square meters,,"€ 435,000  435000 €",,,Yes
4001,Good,3,348  m² square meters,Semi equipped,2,1,,380  m²  square meters,,"€ 335,000  335000 €",,,
4002,To be done up,2,263  m² square meters,USA installed,7,3,No,180  m²  square meters,1  m²  square meter,"€ 420,000  420000 €",,,Yes
4003,To be done up,4,,USA installed,4,2,,827  m²  square meters,,"€ 495,000  495000 €",No,9140 Temse - Elversele - Steendorp - Tielrode,Yes
4004,To renovate,4,220  m² square meters,,4,,No,1564  m²  square meters,,"€ 495,000  495000 €",No,,
4005,Just renovated,2,,Hyper equipped,5,1,Yes,79  m²  square meters,5  m²  square meters,"€ 525,000  525000 €",,,
4006,As new,4,205  m² square meters,USA hyper equipped,3,1,No,636  m²  square meters,,"€ 459,000  459000 €",,,Yes
4007,Good,2,120  m² square meters,Installed,3,2,No,424  m²  square meters,350  m²  square meters,"€ 450,000  450000 €",No,,
4008,As new,,76  m² square meters,Installed,3,1,,76  m²  square meters,,"€ 269,000  269000 €",No,,
4009,Good,3,313  m² square meters,Installed,4,2,No,440  m²  square meters,,"€ 480,000  480000 €",,,Yes
4010,To be done up,2,125  m² square meters,Installed,3,,No,290  m²  square meters,,"€ 199,000  199000 €",,,
4011,,4,181  m² square meters,,4,2,No,2950  m²  square meters,,"€ 399,000  399000 €",,,
4012,,2,165  m² square meters,Installed,4,1,,318  m²  square meters,,"€ 350,000  350000 €",,,Yes
4013,Just renovated,,160  m² square meters,Installed,5,1,,,,"€ 419,000  419000 €",,,
4014,Good,4,245  m² square meters,,4,2,No,1217  m²  square meters,,"Make an offer starting from  € 695,000  Make an offer starting from  695000 €",No,,Yes
4015,To be done up,4,130  m² square meters,,3,1,No,857  m²  square meters,,"Make an offer starting from  € 159,000  Make an offer starting from  159000 €",,,
4016,As new,4,700  m² square meters,Hyper equipped,5,5,No,1370  m²  square meters,1370  m²  square meters,"€ 3,500,000  3500000 €",Yes,,
4017,Good,4,191  m² square meters,,4,1,No,1200  m²  square meters,1030  m²  square meters,"€ 389,000  389000 €",,,
4018,To renovate,4,129  m² square meters,Not installed,2,1,No,660  m²  square meters,,"€ 170,000  170000 €",,,Yes
4019,To renovate,,174  m² square meters,Not installed,4,1,,70  m²  square meters,,"€ 158,000  158000 €",No,,
4020,To renovate,2,315  m² square meters,Semi equipped,2,1,No,410  m²  square meters,275  m²  square meters,"Make an offer starting from  € 199,000  Make an offer starting from  199000 €",No,,
